satellite,lat,lon,dsm_tile,valid_ratio,elev_min,elev_max,elev_mean,fully_valid,partial,empty
sat_51.507708_-0.122884.png,51.507708,-0.122884,TQ38sw_FZ_DSM_1m.tif,1.0,4.150,55.277,12.675,True,False,False
sat_51.507708_-0.123742.png,51.507708,-0.123742,TQ38sw_FZ_DSM_1m.tif,1.0,4.132,63.775,44.737,True,False,False
sat_51.507708_-0.124600.png,51.507708,-0.124600,TQ38sw_FZ_DSM_1m.tif,1.0,3.846,63.817,34.585,True,False,False
sat_51.507708_-0.125459.png,51.507708,-0.125459,TQ38sw_FZ_DSM_1m.tif,1.0,3.615,47.410,17.901,True,False,False
sat_51.507708_-0.126317.png,51.507708,-0.126317,TQ38sw_FZ_DSM_1m.tif,1.0,6.475,50.074,34.328,True,False,False
sat_51.507708_-0.127175.png,51.507708,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,6.891,48.061,12.682,True,False,False
sat_51.507708_-0.128034.png,51.507708,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.7,8.059,23.455,9.405,False,True,False
sat_51.507708_-0.128892.png,51.507708,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,6.529,34.340,13.600,True,False,False
sat_51.507708_-0.129750.png,51.507708,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,8.785,45.823,25.078,True,False,False
sat_51.507708_-0.130608.png,51.507708,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,8.774,44.712,19.911,True,False,False
sat_51.507708_-0.131467.png,51.507708,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,10.017,82.605,28.780,True,False,False
sat_51.508242_-0.123742.png,51.508242,-0.123742,TQ38sw_FZ_DSM_1m.tif,1.0,3.983,63.843,18.885,True,False,False
sat_51.508242_-0.124600.png,51.508242,-0.124600,TQ38sw_FZ_DSM_1m.tif,1.0,7.178,55.997,29.704,True,False,False
sat_51.508242_-0.125459.png,51.508242,-0.125459,TQ38sw_FZ_DSM_1m.tif,1.0,7.726,47.668,24.791,True,False,False
sat_51.508242_-0.126317.png,51.508242,-0.126317,TQ38sw_FZ_DSM_1m.tif,1.0,8.306,44.923,22.184,True,False,False
sat_51.508242_-0.127175.png,51.508242,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,7.823,39.804,16.490,True,False,False
sat_51.508242_-0.128034.png,51.508242,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.675,9.320,27.040,10.596,False,True,False
sat_51.508242_-0.128892.png,51.508242,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,6.579,34.251,12.989,True,False,False
sat_51.508242_-0.129750.png,51.508242,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,7.863,45.401,21.084,True,False,False
sat_51.508242_-0.130608.png,51.508242,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,8.450,44.479,24.273,True,False,False
sat_51.508242_-0.131467.png,51.508242,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,9.903,77.940,20.184,True,False,False
sat_51.508242_-0.132325.png,51.508242,-0.132325,TQ28se_FZ_DSM_1m.tif,1.0,10.887,41.613,25.499,True,False,False
sat_51.508776_-0.123742.png,51.508776,-0.123742,TQ38sw_FZ_DSM_1m.tif,1.0,4.815,48.068,21.479,True,False,False
sat_51.508776_-0.124600.png,51.508776,-0.124600,TQ38sw_FZ_DSM_1m.tif,1.0,6.832,45.076,24.112,True,False,False
sat_51.508776_-0.125459.png,51.508776,-0.125459,TQ38sw_FZ_DSM_1m.tif,1.0,12.233,36.388,20.953,True,False,False
sat_51.508776_-0.126317.png,51.508776,-0.126317,TQ38sw_FZ_DSM_1m.tif,1.0,6.834,36.987,17.752,True,False,False
sat_51.508776_-0.127175.png,51.508776,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,11.151,67.573,17.873,True,False,False
sat_51.508776_-0.128034.png,51.508776,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.648438,12.173,41.116,23.815,False,True,False
sat_51.508776_-0.128892.png,51.508776,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,11.281,35.388,27.604,True,False,False
sat_51.508776_-0.129750.png,51.508776,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,11.707,39.227,26.780,True,False,False
sat_51.508776_-0.130608.png,51.508776,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,8.785,37.444,22.412,True,False,False
sat_51.508776_-0.131467.png,51.508776,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,10.811,41.169,26.075,True,False,False
sat_51.508776_-0.132325.png,51.508776,-0.132325,TQ28se_FZ_DSM_1m.tif,1.0,12.842,48.225,27.241,True,False,False
sat_51.509311_-0.123742.png,51.509311,-0.123742,TQ38sw_FZ_DSM_1m.tif,1.0,9.750,49.163,22.753,True,False,False
sat_51.509311_-0.124600.png,51.509311,-0.124600,TQ38sw_FZ_DSM_1m.tif,1.0,13.205,42.697,21.864,True,False,False
sat_51.509311_-0.125459.png,51.509311,-0.125459,TQ38sw_FZ_DSM_1m.tif,1.0,13.951,39.437,28.743,True,False,False
sat_51.509311_-0.126317.png,51.509311,-0.126317,TQ38sw_FZ_DSM_1m.tif,1.0,6.836,38.495,24.652,True,False,False
sat_51.509311_-0.127175.png,51.509311,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,11.037,36.800,18.461,True,False,False
sat_51.509311_-0.128034.png,51.509311,-0.128034,TQ38sw_FZ_DSM_1m.tif,0.621875,11.480,44.557,31.935,False,True,False
sat_51.509311_-0.128892.png,51.509311,-0.128892,TQ28se_FZ_DSM_1m.tif,1.0,14.694,39.361,28.791,True,False,False
sat_51.509311_-0.129750.png,51.509311,-0.129750,TQ28se_FZ_DSM_1m.tif,1.0,14.241,51.076,25.439,True,False,False
sat_51.509311_-0.130608.png,51.509311,-0.130608,TQ28se_FZ_DSM_1m.tif,1.0,11.123,51.649,27.294,True,False,False
sat_51.509311_-0.131467.png,51.509311,-0.131467,TQ28se_FZ_DSM_1m.tif,1.0,14.934,47.592,26.570,True,False,False
sat_51.509311_-0.132325.png,51.509311,-0.132325,TQ28se_FZ_DSM_1m.tif,1.0,14.833,50.581,25.510,True,False,False
sat_51.509845_-0.122884.png,51.509845,-0.122884,TQ38sw_FZ_DSM_1m.tif,1.0,10.471,43.235,24.104,True,False,False
sat_51.509845_-0.123742.png,51.509845,-0.123742,TQ38sw_FZ_DSM_1m.tif,1.0,13.838,44.091,27.613,True,False,False
sat_51.509845_-0.124600.png,51.509845,-0.124600,TQ38sw_FZ_DSM_1m.tif,1.0,13.947,44.082,28.982,True,False,False
sat_51.509845_-0.125459.png,51.509845,-0.125459,TQ38sw_FZ_DSM_1m.tif,1.0,15.740,40.278,27.017,True,False,False
sat_51.509845_-0.126317.png,51.509845,-0.126317,TQ38sw_FZ_DSM_1m.tif,1.0,15.821,44.843,32.891,True,False,False
sat_51.509845_-0.127175.png,51.509845,-0.127175,TQ38sw_FZ_DSM_1m.tif,1.0,13.296,49.569,29.388,True,False,False
