grid,file,latitude,longitude
filled_272,satellite_51.508776_-0.127175.png,51.508776,-0.127175
filled_272,satellite_51.508776_-0.128034.png,51.508776,-0.128034
filled_272,satellite_51.508776_-0.128892.png,51.508776,-0.128892
filled_272,satellite_51.508776_-0.129750.png,51.508776,-0.12975
filled_272,satellite_51.508776_-0.130608.png,51.508776,-0.130608
filled_272,satellite_51.508776_-0.131467.png,51.508776,-0.131467
filled_272,satellite_51.508776_-0.132325.png,51.508776,-0.132325
filled_272,satellite_51.508776_-0.133183.png,51.508776,-0.133183
filled_272,satellite_51.508776_-0.134042.png,51.508776,-0.134042
filled_272,satellite_51.508776_-0.134900.png,51.508776,-0.1349
filled_272,satellite_51.509311_-0.121167.png,51.509311,-0.121167
filled_272,satellite_51.509311_-0.122025.png,51.509311,-0.122025
filled_272,satellite_51.509311_-0.122884.png,51.509311,-0.122884
filled_272,satellite_51.509311_-0.123742.png,51.509311,-0.123742
filled_272,satellite_51.509311_-0.124600.png,51.509311,-0.1246
filled_272,satellite_51.509311_-0.125459.png,51.509311,-0.125459
filled_272,satellite_51.509311_-0.126317.png,51.509311,-0.126317
filled_272,satellite_51.509311_-0.127175.png,51.509311,-0.127175
filled_272,satellite_51.509311_-0.128034.png,51.509311,-0.128034
filled_272,satellite_51.509311_-0.128892.png,51.509311,-0.128892
filled_272,satellite_51.509311_-0.129750.png,51.509311,-0.12975
filled_272,satellite_51.509311_-0.130608.png,51.509311,-0.130608
filled_272,satellite_51.509311_-0.131467.png,51.509311,-0.131467
filled_272,satellite_51.509311_-0.132325.png,51.509311,-0.132325
filled_272,satellite_51.509311_-0.133183.png,51.509311,-0.133183
filled_272,satellite_51.509311_-0.134042.png,51.509311,-0.134042
filled_272,satellite_51.509311_-0.134900.png,51.509311,-0.1349
filled_272,satellite_51.509845_-0.121167.png,51.509845,-0.121167
filled_272,satellite_51.509845_-0.122025.png,51.509845,-0.122025
filled_272,satellite_51.509845_-0.122884.png,51.509845,-0.122884
filled_272,satellite_51.509845_-0.123742.png,51.509845,-0.123742
filled_272,satellite_51.509845_-0.124600.png,51.509845,-0.1246
filled_272,satellite_51.509845_-0.125459.png,51.509845,-0.125459
filled_272,satellite_51.509845_-0.126317.png,51.509845,-0.126317
filled_272,satellite_51.509845_-0.127175.png,51.509845,-0.127175
filled_272,satellite_51.509845_-0.128034.png,51.509845,-0.128034
filled_272,satellite_51.509845_-0.128892.png,51.509845,-0.128892
filled_272,satellite_51.509845_-0.129750.png,51.509845,-0.12975
filled_272,satellite_51.509845_-0.130608.png,51.509845,-0.130608
filled_272,satellite_51.509845_-0.131467.png,51.509845,-0.131467
filled_272,satellite_51.509845_-0.132325.png,51.509845,-0.132325
filled_272,satellite_51.509845_-0.133183.png,51.509845,-0.133183
filled_272,satellite_51.509845_-0.134042.png,51.509845,-0.134042
filled_272,satellite_51.509845_-0.134900.png,51.509845,-0.1349
filled_272,satellite_51.510379_-0.121167.png,51.510379,-0.121167
filled_272,satellite_51.510379_-0.122025.png,51.510379,-0.122025
filled_272,satellite_51.510379_-0.122884.png,51.510379,-0.122884
filled_272,satellite_51.510379_-0.123742.png,51.510379,-0.123742
filled_272,satellite_51.510379_-0.124600.png,51.510379,-0.1246
filled_272,satellite_51.510379_-0.125459.png,51.510379,-0.125459
filled_272,satellite_51.510379_-0.126317.png,51.510379,-0.126317
filled_272,satellite_51.510379_-0.127175.png,51.510379,-0.127175
filled_272,satellite_51.510379_-0.128034.png,51.510379,-0.128034
filled_272,satellite_51.510379_-0.128892.png,51.510379,-0.128892
filled_272,satellite_51.510379_-0.129750.png,51.510379,-0.12975
filled_272,satellite_51.510379_-0.130608.png,51.510379,-0.130608
filled_272,satellite_51.510379_-0.131467.png,51.510379,-0.131467
filled_272,satellite_51.510379_-0.132325.png,51.510379,-0.132325
filled_272,satellite_51.510379_-0.133183.png,51.510379,-0.133183
filled_272,satellite_51.510379_-0.134042.png,51.510379,-0.134042
filled_272,satellite_51.510379_-0.134900.png,51.510379,-0.1349
filled_272,satellite_51.510913_-0.121167.png,51.510913,-0.121167
filled_272,satellite_51.510913_-0.122025.png,51.510913,-0.122025
filled_272,satellite_51.510913_-0.122884.png,51.510913,-0.122884
filled_272,satellite_51.510913_-0.123742.png,51.510913,-0.123742
filled_272,satellite_51.510913_-0.124600.png,51.510913,-0.1246
filled_272,satellite_51.510913_-0.125459.png,51.510913,-0.125459
filled_272,satellite_51.510913_-0.126317.png,51.510913,-0.126317
filled_272,satellite_51.510913_-0.127175.png,51.510913,-0.127175
filled_272,satellite_51.510913_-0.128034.png,51.510913,-0.128034
filled_272,satellite_51.510913_-0.128892.png,51.510913,-0.128892
filled_272,satellite_51.510913_-0.129750.png,51.510913,-0.12975
filled_272,satellite_51.510913_-0.130608.png,51.510913,-0.130608
filled_272,satellite_51.510913_-0.131467.png,51.510913,-0.131467
filled_272,satellite_51.510913_-0.132325.png,51.510913,-0.132325
filled_272,satellite_51.510913_-0.133183.png,51.510913,-0.133183
filled_272,satellite_51.510913_-0.134042.png,51.510913,-0.134042
filled_272,satellite_51.510913_-0.134900.png,51.510913,-0.1349
overlap50_990,sat_51.503167_-0.121167.png,51.503167,-0.121167
overlap50_990,sat_51.503167_-0.121596.png,51.503167,-0.121596
overlap50_990,sat_51.503167_-0.122025.png,51.503167,-0.122025
overlap50_990,sat_51.503167_-0.122455.png,51.503167,-0.122455
overlap50_990,sat_51.503167_-0.122884.png,51.503167,-0.122884
overlap50_990,sat_51.503167_-0.123313.png,51.503167,-0.123313
overlap50_990,sat_51.503167_-0.123742.png,51.503167,-0.123742
overlap50_990,sat_51.503167_-0.124171.png,51.503167,-0.124171
overlap50_990,sat_51.503167_-0.124600.png,51.503167,-0.1246
overlap50_990,sat_51.503167_-0.125029.png,51.503167,-0.125029
overlap50_990,sat_51.503167_-0.125459.png,51.503167,-0.125459
overlap50_990,sat_51.503167_-0.125888.png,51.503167,-0.125888
overlap50_990,sat_51.503167_-0.126317.png,51.503167,-0.126317
overlap50_990,sat_51.503167_-0.126746.png,51.503167,-0.126746
overlap50_990,sat_51.503167_-0.127175.png,51.503167,-0.127175
overlap50_990,sat_51.503167_-0.127604.png,51.503167,-0.127604
overlap50_990,sat_51.503167_-0.128034.png,51.503167,-0.128034
overlap50_990,sat_51.503167_-0.128463.png,51.503167,-0.128463
overlap50_990,sat_51.503167_-0.128892.png,51.503167,-0.128892
